"Date","Price","Open","High","Low","Vol.","Change %"
"May 03, 2018","10,679.65","10,720.15","10,720.60","10,647.45","190.87M","-0.36%"
"May 02, 2018","10,718.05","10,783.85","10,784.65","10,689.80","236.76M","-0.20%"
"Apr 30, 2018","10,739.35","10,705.75","10,759.00","10,704.60","179.16M","0.44%"
"Apr 27, 2018","10,692.30","10,651.65","10,719.80","10,647.55","306.67M","0.70%"
"Apr 26, 2018","10,617.80","10,586.50","10,628.40","10,559.65","345.54M","0.45%"
"Apr 25, 2018","10,570.55","10,612.40","10,612.60","10,536.45","195.13M","-0.41%"
"Apr 24, 2018","10,614.35","10,578.10","10,636.80","10,569.00","225.97M","0.28%"
"Apr 23, 2018","10,584.70","10,592.80","10,638.35","10,514.95","200.20M","0.20%"
"Apr 20, 2018","10,564.05","10,560.35","10,582.35","10,527.45","252.23M","-0.01%"
"Apr 19, 2018","10,565.30","10,563.65","10,572.20","10,546.20","270.74M","0.37%"
"Apr 18, 2018","10,526.20","10,578.90","10,594.20","10,509.70","211.82M","-0.21%"
"Apr 17, 2018","10,548.70","10,557.30","10,560.45","10,495.65","212.45M","0.19%"
"Apr 16, 2018","10,528.35","10,398.30","10,540.15","10,396.35","200.95M","0.46%"
"Apr 13, 2018","10,480.60","10,495.30","10,519.90","10,451.45","219.72M","0.21%"
"Apr 12, 2018","10,458.65","10,410.65","10,469.90","10,395.25","246.03M","0.40%"
"Apr 11, 2018","10,417.15","10,428.15","10,428.15","10,355.60","258.08M","0.14%"
"Apr 10, 2018","10,402.25","10,412.90","10,424.85","10,381.50","259.52M","0.22%"
"Apr 09, 2018","10,379.35","10,333.70","10,397.70","10,328.50","228.51M","0.46%"
"Apr 06, 2018","10,331.60","10,322.75","10,350.45","10,290.85","206.36M","0.06%"
"Apr 05, 2018","10,325.15","10,228.45","10,331.80","10,227.45","244.12M","1.94%"
"Apr 04, 2018","10,128.40","10,274.60","10,279.85","10,111.30","238.18M","-1.14%"
"Apr 03, 2018","10,245.00","10,186.85","10,255.35","10,171.05","211.65M","0.33%"
"Apr 02, 2018","10,211.80","10,151.65","10,220.10","10,127.75","232.43M","0.97%"
"Mar 28, 2018","10,113.70","10,143.60","10,158.35","10,096.90","354.98M","-0.69%"
"Mar 27, 2018","10,184.15","10,188.00","10,207.90","10,139.65","232.71M","0.53%"
"Mar 26, 2018","10,130.65","9,989.15","10,143.50","9,958.55","270.66M","1.33%"
"Mar 23, 2018","9,998.05","9,968.80","10,027.70","9,951.90","294.52M","-1.15%"
"Mar 22, 2018","10,114.75","10,167.50","10,207.85","10,105.40","237.63M","-0.40%"
"Mar 21, 2018","10,155.25","10,181.95","10,227.30","10,132.95","211.06M","0.31%"
"Mar 20, 2018","10,124.35","10,051.55","10,155.65","10,049.10","209.33M","0.30%"
"Mar 19, 2018","10,094.25","10,215.35","10,224.55","10,075.30","216.67M","-0.99%"
"Mar 16, 2018","10,195.15","10,345.15","10,346.30","10,180.25","338.70M","-1.59%"
"Mar 15, 2018","10,360.15","10,405.45","10,420.00","10,346.20","179.31M","-0.49%"
"Mar 14, 2018","10,410.90","10,393.05","10,420.35","10,336.30","186.99M","-0.15%"
"Mar 13, 2018","10,426.85","10,389.50","10,478.60","10,377.85","274.85M","0.05%"
"Mar 12, 2018","10,421.40","10,301.60","10,433.65","10,295.45","223.14M","1.90%"
"Mar 09, 2018","10,226.85","10,271.30","10,296.70","10,211.90","192.33M","-0.15%"
"Mar 08, 2018","10,242.65","10,216.25","10,270.35","10,146.40","233.38M","0.87%"
"Mar 07, 2018","10,154.20","10,232.95","10,243.35","10,141.55","257.20M","-0.93%"
"Mar 06, 2018","10,249.25","10,420.50","10,441.35","10,215.90","229.78M","-1.06%"
"Mar 05, 2018","10,358.85","10,428.30","10,428.70","10,323.90","199.98M","-0.95%"
"Mar 01, 2018","10,458.35","10,479.95","10,525.50","10,447.15","181.38M","-0.33%"
"Feb 28, 2018","10,492.85","10,488.95","10,535.50","10,461.55","294.79M","-0.58%"
"Feb 27, 2018","10,554.30","10,615.20","10,631.65","10,537.25","193.25M","-0.27%"
"Feb 26, 2018","10,582.60","10,526.55","10,592.95","10,520.20","177.24M","0.87%"
"Feb 23, 2018","10,491.05","10,408.10","10,499.10","10,396.65","217.13M","1.04%"
"Feb 22, 2018","10,382.70","10,354.35","10,397.55","10,340.65","323.26M","-0.14%"
"Feb 21, 2018","10,397.45","10,426.00","10,426.10","10,349.60","241.33M","0.36%"
"Feb 20, 2018","10,360.40","10,391.00","10,429.35","10,347.65","193.46M","-0.17%"
"Feb 19, 2018","10,378.40","10,488.90","10,489.35","10,302.75","193.09M","-0.71%"
"Feb 16, 2018","10,452.30","10,596.20","10,612.90","10,434.05","190.04M","-0.88%"
"Feb 15, 2018","10,545.50","10,537.90","10,618.10","10,511.05","217.09M","0.42%"
"Feb 14, 2018","10,500.90","10,585.75","10,590.55","10,456.65","236.33M","-0.37%"
"Feb 12, 2018","10,539.75","10,518.20","10,555.50","10,485.40","224.12M","0.81%"
"Feb 09, 2018","10,454.95","10,416.50","10,480.20","10,398.20","197.50M","-1.15%"
"Feb 08, 2018","10,576.85","10,518.50","10,637.80","10,479.55","239.41M","0.96%"
"Feb 07, 2018","10,476.70","10,607.20","10,614.00","10,446.40","258.10M","-0.21%"
"Feb 06, 2018","10,498.25","10,295.15","10,594.15","10,276.30","274.66M","-1.58%"
"Feb 05, 2018","10,666.55","10,604.30","10,702.75","10,586.80","247.48M","-0.87%"
"Feb 02, 2018","10,760.60","10,938.20","10,954.95","10,736.10","291.43M","-2.33%"
"Feb 01, 2018","11,016.90","11,044.55","11,117.35","10,878.80","315.74M","-0.10%"
"Jan 31, 2018","11,027.70","11,018.80","11,058.50","10,979.30","253.46M","-0.20%"
"Jan 30, 2018","11,049.65","11,120.85","11,121.10","11,033.90","234.97M","-0.73%"
"Jan 29, 2018","11,130.40","11,079.35","11,171.55","11,075.95","249.22M","0.55%"
"Jan 25, 2018","11,069.65","11,095.60","11,095.60","11,009.20","340.47M","-0.15%"
"Jan 24, 2018","11,086.00","11,069.35","11,110.10","11,046.15","292.20M","0.02%"
"Jan 23, 2018","11,083.70","10,997.40","11,092.90","10,994.55","293.45M","1.07%"
"Jan 22, 2018","10,966.20","10,883.20","10,975.10","10,881.40","238.82M","0.66%"
"Jan 19, 2018","10,894.70","10,829.20","10,906.85","10,793.90","214.01M","0.72%"
"Jan 18, 2018","10,817.00","10,873.40","10,887.50","10,782.40","321.61M","0.26%"
"Jan 17, 2018","10,788.55","10,702.45","10,803.00","10,666.75","260.49M","0.82%"
"Jan 16, 2018","10,700.45","10,761.50","10,762.35","10,687.85","217.47M","-0.38%"
"Jan 15, 2018","10,741.55","10,718.50","10,782.65","10,713.80","181.26M","0.56%"
"Jan 12, 2018","10,681.25","10,682.55","10,690.40","10,597.10","180.59M","0.28%"
"Jan 11, 2018","10,651.20","10,637.05","10,664.60","10,612.35","158.63M","0.18%"
"Jan 10, 2018","10,632.20","10,652.05","10,655.50","10,592.70","181.90M","-0.05%"
"Jan 09, 2018","10,637.00","10,645.10","10,659.15","10,603.60","211.29M","0.13%"
"Jan 08, 2018","10,623.60","10,591.70","10,631.20","10,588.55","174.18M","0.61%"
"Jan 05, 2018","10,558.85","10,534.25","10,566.10","10,520.10","186.47M","0.51%"
"Jan 04, 2018","10,504.80","10,469.40","10,513.00","10,441.45","180.26M","0.59%"
"Jan 03, 2018","10,443.20","10,482.65","10,503.60","10,429.55","172.52M","0.01%"
"Jan 02, 2018","10,442.20","10,477.55","10,495.20","10,404.65","158.09M","0.06%"
"Jan 01, 2018","10,435.55","10,531.70","10,537.85","10,423.10","134.53M","-0.90%"
"Dec 29, 2017","10,530.70","10,492.35","10,538.70","10,488.65","156.74M","0.50%"
"Dec 28, 2017","10,477.90","10,498.20","10,534.55","10,460.45","281.31M","-0.12%"
"Dec 27, 2017","10,490.75","10,531.05","10,552.40","10,469.25","170.31M","-0.39%"
"Dec 26, 2017","10,531.50","10,512.30","10,545.45","10,477.95","160.42M","0.37%"
"Dec 22, 2017","10,493.00","10,457.30","10,501.10","10,448.25","143.12M","0.50%"
"Dec 21, 2017","10,440.30","10,473.95","10,473.95","10,426.90","156.65M","-0.04%"
"Dec 20, 2017","10,444.20","10,494.40","10,494.45","10,437.15","180.60M","-0.18%"
"Dec 19, 2017","10,463.20","10,414.80","10,472.20","10,406.00","174.34M","0.72%"
"Dec 18, 2017","10,388.75","10,263.10","10,443.55","10,074.80","237.51M","0.54%"
"Dec 15, 2017","10,333.25","10,345.65","10,373.10","10,319.65","262.98M","0.79%"
"Dec 14, 2017","10,252.10","10,229.30","10,276.10","10,141.55","159.10M","0.58%"
"Dec 13, 2017","10,192.95","10,236.60","10,296.55","10,169.85","187.19M","-0.46%"
"Dec 12, 2017","10,240.15","10,324.90","10,326.10","10,230.20","180.55M","-0.80%"
"Dec 11, 2017","10,322.25","10,310.50","10,329.20","10,282.05","152.04M","0.55%"
"Dec 08, 2017","10,265.65","10,198.45","10,270.85","10,195.25","206.23M","0.97%"
"Dec 07, 2017","10,166.70","10,063.45","10,182.65","10,061.90","171.34M","1.22%"
"Dec 06, 2017","10,044.10","10,088.80","10,104.20","10,033.35","171.21M","-0.73%"
"Dec 05, 2017","10,118.25","10,118.25","10,147.95","10,069.10","160.25M","-0.09%"
"Dec 04, 2017","10,127.75","10,175.05","10,179.20","10,095.70","153.24M","0.06%"
"Dec 01, 2017","10,121.80","10,263.70","10,272.70","10,108.55","147.77M","-1.02%"
"Nov 30, 2017","10,226.55","10,332.70","10,332.70","10,211.25","353.10M","-1.30%"
"Nov 29, 2017","10,361.30","10,376.65","10,392.95","10,345.90","157.19M","-0.09%"
"Nov 28, 2017","10,370.25","10,387.90","10,409.55","10,355.20","202.05M","-0.28%"
"Nov 27, 2017","10,399.55","10,361.05","10,407.15","10,340.20","146.28M","0.09%"
"Nov 24, 2017","10,389.70","10,366.80","10,404.50","10,362.25","133.18M","0.40%"
"Nov 23, 2017","10,348.75","10,358.45","10,374.30","10,307.30","157.65M","0.06%"
"Nov 22, 2017","10,342.30","10,350.80","10,368.70","10,309.55","162.50M","0.15%"
"Nov 21, 2017","10,326.90","10,329.25","10,358.70","10,315.05","191.86M","0.27%"
"Nov 20, 2017","10,298.75","10,287.20","10,309.85","10,261.50","151.75M","0.15%"
"Nov 17, 2017","10,283.60","10,324.55","10,343.60","10,268.05","209.59M","0.67%"
"Nov 16, 2017","10,214.75","10,152.90","10,232.25","10,139.20","188.18M","0.96%"
"Nov 15, 2017","10,118.05","10,171.95","10,175.45","10,094.00","213.84M","-0.67%"
"Nov 14, 2017","10,186.60","10,223.40","10,248.00","10,175.55","314.41M","-0.38%"
"Nov 13, 2017","10,224.95","10,322.00","10,334.15","10,216.25","216.80M","-0.94%"
"Nov 10, 2017","10,321.75","10,304.35","10,344.95","10,254.10","287.96M","0.12%"
"Nov 09, 2017","10,308.95","10,358.65","10,368.45","10,266.95","247.61M","0.06%"
"Nov 08, 2017","10,303.15","10,361.95","10,384.25","10,285.50","282.95M","-0.45%"
"Nov 07, 2017","10,350.15","10,477.15","10,485.75","10,340.80","295.83M","-0.97%"
"Nov 06, 2017","10,451.80","10,431.75","10,490.45","10,413.75","199.56M","-0.01%"
"Nov 03, 2017","10,452.50","10,461.55","10,461.70","10,403.60","206.10M","0.28%"
"Nov 02, 2017","10,423.80","10,440.50","10,453.00","10,412.55","207.74M","-0.16%"
"Nov 01, 2017","10,440.50","10,390.35","10,451.65","10,383.05","268.27M","1.02%"
"Oct 31, 2017","10,335.30","10,364.90","10,367.70","10,323.95","239.81M","-0.27%"
"Oct 30, 2017","10,363.65","10,353.85","10,384.50","10,344.30","244.19M","0.39%"
"Oct 27, 2017","10,323.05","10,362.30","10,366.15","10,311.30","322.41M","-0.20%"
"Oct 26, 2017","10,343.80","10,291.80","10,355.65","10,271.85","443.04M","0.47%"
"Oct 25, 2017","10,295.35","10,321.15","10,340.55","10,240.90","612.62M","0.86%"
"Oct 24, 2017","10,207.70","10,218.55","10,237.75","10,182.40","223.91M","0.22%"
"Oct 23, 2017","10,184.85","10,176.65","10,224.15","10,124.50","224.80M","0.38%"
"Oct 19, 2017","10,146.55","10,210.35","10,211.95","10,123.35","31.09M","-0.63%"
"Oct 18, 2017","10,210.85","10,209.40","10,236.45","10,175.75","262.11M","-0.23%"
"Oct 17, 2017","10,234.45","10,227.65","10,251.85","10,212.60","201.78M","0.04%"
"Oct 16, 2017","10,230.85","10,207.40","10,242.95","10,175.10","209.33M","0.62%"
"Oct 13, 2017","10,167.45","10,123.70","10,191.90","10,120.10","237.23M","0.70%"
"Oct 12, 2017","10,096.40","10,011.20","10,104.45","9,977.10","207.11M","1.12%"
"Oct 11, 2017","9,984.80","10,042.60","10,067.25","9,955.80","195.59M","-0.32%"
"Oct 10, 2017","10,016.95","10,013.70","10,034.00","10,002.30","153.25M","0.28%"
"Oct 09, 2017","9,988.75","9,988.20","10,015.75","9,959.45","148.40M","0.09%"
"Oct 06, 2017","9,979.70","9,908.15","9,989.35","9,906.60","201.86M","0.92%"
"Oct 05, 2017","9,888.70","9,927.00","9,945.95","9,881.85","152.36M","-0.26%"
"Oct 04, 2017","9,914.90","9,884.35","9,938.30","9,850.65","160.99M","0.56%"
"Oct 03, 2017","9,859.50","9,893.30","9,895.40","9,831.05","167.83M","0.72%"
"Sep 29, 2017","9,788.60","9,814.30","9,854.00","9,775.35","202.35M","0.20%"
"Sep 28, 2017","9,768.95","9,736.40","9,789.20","9,687.55","396.88M","0.34%"
"Sep 27, 2017","9,735.75","9,920.60","9,921.05","9,714.40","206.31M","-1.38%"
"Sep 26, 2017","9,871.50","9,875.25","9,891.35","9,813.00","196.79M","-0.01%"
"Sep 25, 2017","9,872.60","9,960.10","9,960.50","9,816.05","228.21M","-0.92%"
"Sep 22, 2017","9,964.40","10,094.35","10,095.05","9,952.80","233.62M","-1.56%"
"Sep 21, 2017","10,121.90","10,139.60","10,158.90","10,058.60","197.71M","-0.19%"
"Sep 20, 2017","10,141.15","10,160.95","10,171.05","10,134.20","205.60M","-0.06%"
"Sep 19, 2017","10,147.55","10,175.60","10,178.95","10,129.95","193.35M","-0.05%"
"Sep 18, 2017","10,153.10","10,133.10","10,171.70","10,131.30","160.85M","0.67%"
"Sep 15, 2017","10,085.40","10,062.35","10,115.15","10,043.65","274.80M","-0.01%"
"Sep 14, 2017","10,086.60","10,107.40","10,126.50","10,070.35","232.64M","0.07%"
