,A,B,C,D,Return,Beta,Risk,SharpeRatio,TreynorRatio,InformationRatio,DownRisk,SortioRatio,Efficient
1966,HDFC,TCS,LT,HINDZINC,-0.002442712683049593,0.8946954859365719,0.012854738830494757,-5.557694607810237,-0.07985142856539953,-11.372816975273054,0.005513627784522357,-12.957478356373787,-0.19002429495143444
1967,HDFC,TCS,ICICIBANK,LT,0.0502456197056959,1.0234363978880232,0.013302570002920155,-1.409831355158227,-0.01832491040284075,-7.029187561116434,0.006308409564007531,-2.9729173580147266,3.777136274769919
1968,HDFC,TCS,ICICIBANK,EICHERMOT,-0.030670815003410214,0.8130452085454165,0.012692061366836762,-7.853004498059021,-0.12258951157430334,-13.742660806877613,0.005917434958173938,-16.843584375309746,-2.416535353630605
1969,HDFC,TCS,ICICIBANK,WIPRO,0.06648270256259173,0.6391049965688123,0.012051870448010316,-0.20887192973633956,-0.0039387854122921746,-6.411384612192522,0.005463736078969891,-0.46072822717360795,5.5163804530912115
1970,HDFC,TCS,ICICIBANK,SUNPHARMA,0.10079872485273947,0.902948164196202,0.01440707780560215,2.207159930820574,0.035216556291519194,-2.981392550796192,0.006612792900250366,4.808667885476277,6.99647258193776
1971,HDFC,TCS,ICICIBANK,ITC,0.0538812333107873,0.83700957234465,0.01258232624325787,-1.2015875599564878,-0.018062836063943304,-7.142609741062148,0.005854343560821979,-2.5824870939227824,4.282295043784855
1972,HDFC,TCS,ICICIBANK,VIDEOIND,-0.6109252284344564,0.6653354896104219,0.018118422378789304,-37.526734625108666,-1.0219283940987085,-41.6524734857179,0.008528956710274087,-79.71962474793781,-33.718456036749004
1973,HDFC,TCS,ICICIBANK,HINDZINC,-0.0027560597010930126,0.9708614797048083,0.013550466481934679,-5.295467856900524,-0.07390967836411692,-10.812021799951946,0.0063194298572840125,-11.354831261934853,-0.2033922378072636
1974,HDFC,TCS,EICHERMOT,LT,-0.010128359308090258,0.7894770121128317,0.012205482753083056,-6.483017583888908,-0.10022883262468099,-12.607468440387873,0.005294580942353495,-14.945159998426032,-0.8298204596235143
1975,HDFC,TCS,EICHERMOT,ICICIBANK,-0.010546155332148158,0.8910316704704803,0.013185614600718727,-6.032798450503189,-0.08927421770557988,-11.70199792013036,0.006406790441982421,-12.415913405080031,-0.7998228108057477
1976,HDFC,TCS,EICHERMOT,WIPRO,0.00610872354880556,0.40514561079362077,0.011573566584231962,-5.434044552599599,-0.15523129160402271,-11.892890126007037,0.004999731941305871,-12.578929668530984,0.5278168578671502
1977,HDFC,TCS,EICHERMOT,SUNPHARMA,0.040424745838953315,0.6689887784210105,0.013668913250345993,-2.090528605873139,-0.04271410086801726,-7.5592793347733105,0.006374158406352635,-4.482984629401103,2.9574220787398784
1978,HDFC,TCS,EICHERMOT,ITC,-0.006492745702998862,0.6030501865694585,0.011590505124851007,-6.513326631566397,-0.1251848476035646,-12.962733149736914,0.004855105516548972,-15.549146243202435,-0.5601779761158014
1979,HDFC,TCS,EICHERMOT,VIDEOIND,-0.6712992074482426,0.4313761038352304,0.01747280483958516,-42.36865312952347,-1.7161340205599551,-46.646837427201326,0.008233387320207569,-89.9142939178014,-38.419659213922785
1980,HDFC,TCS,EICHERMOT,HINDZINC,-0.06313003871487917,0.7369020939296168,0.012502370723844133,-10.568398716803754,-0.1793047404849676,-16.547415093156957,0.0055252337792920615,-23.913927264053026,-5.0494454299359015
